Índice de Precios de Consumo (IPC)
Resultados por comunidades autónomas
Ponderaciones por comunidades autónomas de rúbricas
Unidades:   Tanto por mil

,2020,2019,2018,2017,
Nacional,
    Crustáceos, moluscos y preparados de pescado,11,579,11,143,11,534,11,574,
    Huevos,2,169,2,231,2,09,2,196,
    Leche,6,963,6,886,7,315,7,591,
    Productos lácteos,15,475,15,808,16,01,16,543,
    Aceites y grasas,5,497,5,831,6,234,5,916,
    Frutas frescas,16,738,17,501,16,365,16,447,
    Frutas en conserva y frutos secos,2,272,2,102,2,186,2,227,
    Legumbres y hortalizas frescas,8,176,7,633,7,84,7,963,
    Preparados de legumbres y hortalizas,5,801,5,644,5,815,5,862,
    Patatas y sus preparados,2,806,2,682,2,668,2,702,
    Café, cacao e infusiones,4,49,4,22,4,464,4,438,
    Azúcar,0,783,0,737,0,821,0,827,
    Otros preparados alimenticios,12,369,12,351,12,539,12,46,
    Agua mineral, refrescos  y zumos,6,962,6,953,6,898,7,151,
    Bebidas alcohólicas,7,759,7,927,7,715,7,647,
    Tabaco,17,314,17,645,18,451,18,828,
    Prendas de vestir de hombre,15,643,16,2,15,822,16,106,
    Prendas de vestir de mujer,28,344,29,679,28,393,28,737,
    Prendas de vestir de niño y bebé,7,026,7,115,7,121,7,255,
    Complementos y reparaciones de prendas de vestir,2,417,2,392,2,398,2,41,
    Calzado de hombre,5,761,6,081,6,158,6,26,
    Calzado de mujer,8,255,8,49,9,108,9,032,
    Calzado de niño,2,129,2,125,2,281,2,282,
    Reparación de calzado,0,169,0,184,0,196,0,198,
    Vivienda en alquiler,22,83,22,896,22,865,22,483,
    Calefacción, alumbrado y distribución de agua,68,16,68,896,67,89,67,451,
    Conservación de la vivienda,40,273,38,86,39,953,40,136,
    Muebles y revestimientos de suelo,12,801,13,716,12,843,13,046,
    Textiles y accesorios para el hogar,6,243,6,314,6,602,6,692,
    Electrodomésticos y reparaciones,9,461,9,488,9,598,9,826,
    Utensilios y herramientas para el hogar,4,557,4,902,4,854,4,694,
    Artículos no duraderos para el hogar,11,983,12,028,11,995,12,13,
    Servicios para el hogar,16,109,15,476,15,861,15,675,
    Servicios médicos y similares,18,261,18,205,25,115,25,079,
    Medicamentos y material terapéutico,24,701,23,836,18,404,18,417,
    Transporte personal,140,112,141,239,133,737,133,495,
    Transporte público urbano,8,313,7,819,8,041,7,966,
    Transporte público interurbano,7,628,7,238,7,62,7,463,
    Comunicaciones,40,64,39,762,38,732,38,311,
    Objetos recreativos,20,355,20,589,21,308,21,354,
    Publicaciones,8,829,8,709,9,23,9,806,
    Esparcimiento,32,618,32,669,32,563,32,34,
    Educación infantil y primaria,4,309,4,316,4,455,4,513,
    Educación secundaria,2,302,2,288,2,32,2,305,
    Educación universitaria,6,259,6,213,6,475,6,51,
    Otros gastos de enseñanza,7,308,7,379,7,583,7,426,
    Artículos de uso personal,18,553,17,971,18,593,18,213,
    Turismo y hostelería,140,805,144,818,144,153,141,062,
    Otros bienes y servicios,44,747,45,145,44,812,44,873,
04 Balears, Illes,
    Cereales y derivados,16,764,15,635,16,718,17,175,
    Pan,13,571,12,387,13,281,13,543,
    Carne de vacuno,6,12,5,748,6,145,6,244,
    Carne de ovino,1,863,1,771,1,824,1,868,
    Carne de porcino,6,77,6,399,6,262,6,723,
    Carne de ave,7,343,6,884,7,015,7,357,
    Otras carnes,17,749,16,859,17,764,18,03,
    Pescado fresco y congelado,8,313,7,852,8,415,8,534,
    Crustáceos, moluscos y preparados de pescado,10,105,9,706,10,076,10,085,
    Huevos,1,741,1,793,1,68,1,763,
    Leche,5,907,5,828,6,188,6,409,
    Productos lácteos,14,323,14,66,14,832,15,314,
    Aceites y grasas,5,028,5,344,5,713,5,416,
    Frutas frescas,14,883,15,582,14,569,14,632,
    Frutas en conserva y frutos secos,2,738,2,536,2,637,2,685,
    Legumbres y hortalizas frescas,10,296,9,626,9,885,10,033,
    Preparados de legumbres y hortalizas,4,796,4,679,4,816,4,854,
    Patatas y sus preparados,3,219,3,081,3,064,3,102,
    Café, cacao e infusiones,3,72,3,501,3,702,3,678,
    Azúcar,0,682,0,642,0,716,0,72,
    Otros preparados alimenticios,11,334,11,326,11,498,11,416,
    Agua mineral, refrescos  y zumos,10,699,10,7,10,613,10,996,
    Bebidas alcohólicas,10,072,10,25,10,018,9,966,
    Tabaco,18,388,18,765,19,619,20,006,
    Prendas de vestir de hombre,13,638,14,142,13,81,14,048,
    Prendas de vestir de mujer,20,418,21,409,20,478,20,711,
    Prendas de vestir de niño y bebé,7,576,7,682,7,688,7,826,
    Complementos y reparaciones de prendas de vestir,1,819,1,8,1,803,1,811,
    Calzado de hombre,4,852,5,129,5,193,5,275,
    Calzado de mujer,6,811,7,014,7,524,7,456,
    Calzado de niño,2,323,2,321,2,491,2,49,
    Reparación de calzado,0,118,0,129,0,137,0,138,
    Vivienda en alquiler,38,473,38,636,38,578,37,907,
    Calefacción, alumbrado y distribución de agua,61,109,62,586,62,251,61,656,
    Conservación de la vivienda,40,123,38,706,39,926,40,159,
    Muebles y revestimientos de suelo,12,489,13,403,12,55,12,738,
    Textiles y accesorios para el hogar,5,671,5,745,6,005,6,082,
    Electrodomésticos y reparaciones,11,016,10,959,11,144,11,427,
    Utensilios y herramientas para el hogar,4,568,4,92,4,87,4,713,
    Artículos no duraderos para el hogar,14,505,14,579,14,517,14,668,
    Servicios para el hogar,20,266,19,488,19,992,19,746,
    Servicios médicos y similares,16,675,16,621,22,441,22,339,
    Medicamentos y material terapéutico,24,831,24,024,19,569,19,566,
    Transporte personal,152,457,154,305,145,367,145,967,
    Transporte público urbano,3,51,3,298,3,405,3,364,
    Transporte público interurbano,19,88,18,877,19,671,19,277,
    Comunicaciones,40,202,39,411,38,42,37,943,
    Objetos recreativos,22,63,22,82,23,644,23,486,
    Publicaciones,6,414,6,34,6,722,7,151,
    Esparcimiento,32,365,32,325,32,386,32,147,
    Educación infantil y primaria,7,411,7,433,7,653,7,759,
    Educación secundaria,3,935,3,915,3,952,3,927,
    Educación universitaria,6,17,6,135,6,399,6,425,
    Otros gastos de enseñanza,4,959,5,014,5,139,5,037,
    Artículos de uso personal,21,255,20,617,21,327,20,876,
    Turismo y hostelería,116,409,119,96,119,303,116,716,
    Otros bienes y servicios,48,697,48,708,48,594,48,619,
05 Canarias,
    Cereales y derivados,17,124,15,968,17,044,17,522,
    Pan,13,864,12,657,13,547,13,823,
    Carne de vacuno,5,332,5,009,5,345,5,435,
    Carne de ovino,1,014,0,964,0,991,1,016,
    Carne de porcino,5,746,5,432,5,307,5,701,
    Carne de ave,6,486,6,081,6,187,6,492,
    Otras carnes,20,131,19,145,20,151,20,448,
    Pescado fresco y congelado,8,447,7,962,8,535,8,668,
    Crustáceos, moluscos y preparados de pescado,11,159,10,67,11,047,11,054,
    Huevos,2,257,2,325,2,175,2,285,
    Leche,7,739,7,656,8,116,8,418,
    Productos lácteos,18,166,18,576,18,792,19,415,
    Aceites y grasas,5,679,5,999,6,378,6,074,
    Frutas frescas,15,896,16,646,15,536,15,613,
    Frutas en conserva y frutos secos,3,172,2,939,3,05,3,107,
    Legumbres y hortalizas frescas,12,324,11,524,11,813,11,998,
    Preparados de legumbres y hortalizas,5,695,5,551,5,707,5,753,
    Patatas y sus preparados,5,15,4,929,4,895,4,958,
    Café, cacao e infusiones,5,225,4,918,5,192,5,161,
    Azúcar,0,508,0,479,0,533,0,537,
    Otros preparados alimenticios,14,347,14,361,14,567,14,485,
    Agua mineral, refrescos  y zumos,13,601,13,604,13,47,13,965,
    Bebidas alcohólicas,8,2,8,222,8,121,8,171,
    Tabaco,17,531,18,182,18,922,19,333,
    Prendas de vestir de hombre,12,762,13,236,12,903,13,133,
    Prendas de vestir de mujer,17,572,18,427,17,595,17,807,
    Prendas de vestir de niño y bebé,7,243,7,345,7,339,7,475,
    Complementos y reparaciones de prendas de vestir,1,67,1,659,1,661,1,67,
    Calzado de hombre,5,568,5,886,5,95,6,047,
    Calzado de mujer,6,754,6,956,7,449,7,385,
    Calzado de niño,2,989,2,987,3,201,3,202,
    Reparación de calzado,0,095,0,103,0,11,0,11,
    Vivienda en alquiler,36,99,37,153,37,034,36,413,
    Calefacción, alumbrado y distribución de agua,48,111,49,74,49,617,49,203,
    Conservación de la vivienda,32,836,31,841,32,587,32,936,
    Muebles y revestimientos de suelo,10,169,10,914,10,201,10,361,
    Textiles y accesorios para el hogar,5,654,5,724,5,976,6,059,
    Electrodomésticos y reparaciones,7,209,7,235,7,297,7,439,
    Utensilios y herramientas para el hogar,5,178,5,579,5,516,5,315,
    Artículos no duraderos para el hogar,14,729,14,806,14,721,14,884,
    Servicios para el hogar,15,546,14,942,15,329,15,154,
    Servicios médicos y similares,15,318,15,31,19,575,19,47,
    Medicamentos y material terapéutico,28,329,27,458,24,369,24,364,
    Transporte personal,148,94,150,435,141,928,141,907,
    Transporte público urbano,8,799,8,27,8,523,8,424,
    Transporte público interurbano,23,802,22,645,23,599,23,233,
    Comunicaciones,38,783,38,013,36,971,36,556,
    Objetos recreativos,26,282,26,484,27,326,27,221,
    Publicaciones,7,203,7,104,7,506,7,938,
    Esparcimiento,34,488,34,435,34,399,34,187,
    Educación infantil y primaria,6,959,6,982,7,197,7,287,
    Educación secundaria,3,721,3,705,3,751,3,727,
    Educación universitaria,6,723,6,687,6,964,6,996,
    Otros gastos de enseñanza,6,374,6,444,6,625,6,485,
    Artículos de uso personal,23,437,22,737,23,48,22,998,
    Turismo y hostelería,125,144,128,988,128,112,125,418,
    Otros bienes y servicios,39,831,39,974,39,766,39,762,
06 Cantabria,
    Cereales y derivados,16,134,15,032,16,068,16,514,
    Pan,13,107,11,959,12,819,13,076,
    Carne de vacuno,10,519,9,876,10,555,10,729,
    Carne de ovino,2,477,2,353,2,423,2,482,
    Carne de porcino,6,564,6,201,6,068,6,516,
    Carne de ave,6,92,6,485,6,607,6,931,
    Otras carnes,21,731,20,611,21,74,22,059,
    Pescado fresco y congelado,13,727,13,013,13,893,14,073,
    Crustáceos, moluscos y preparados de pescado,13,567,13,029,13,522,13,539,
